train_loss,val_loss,train_accuracy,val_accuracy,precision,recall,f1
3.747415728867054,2.8064211010932922,0.12127236580516898,0.26587301587301587,0.15933103768555168,0.26587301587301587,0.17960493239131012
2.6143037900328636,2.0269422233104706,0.2912524850894632,0.3373015873015873,0.26063658013062774,0.3373015873015873,0.25675577316628473
2.014347054064274,1.609446033835411,0.3717693836978131,0.4246031746031746,0.3821026843785948,0.4246031746031746,0.35632978132978127
1.7493678517639637,1.408961996436119,0.37375745526838966,0.46825396825396826,0.45175991336705623,0.46825396825396826,0.4089899887694005
1.541584026068449,1.2781813442707062,0.45029821073558646,0.5396825396825397,0.5406273620559335,0.5396825396825397,0.4918081767392544
1.4131339378654957,1.1764048784971237,0.4801192842942346,0.5595238095238095,0.5414722286220887,0.5595238095238095,0.5043287632260064
1.295059248805046,1.1074010729789734,0.5228628230616302,0.5595238095238095,0.5672148690394032,0.5595238095238095,0.5158900843424653
1.1785109471529722,1.049914576113224,0.584493041749503,0.6190476190476191,0.6102903269569936,0.6190476190476191,0.5748155530018275
1.1374151930212975,1.0139224454760551,0.5894632206759444,0.626984126984127,0.6553180615680615,0.626984126984127,0.59493886079031
1.0649690553545952,0.9064292386174202,0.6252485089463221,0.6825396825396826,0.7250755857898715,0.6825396825396826,0.6486863263824048
0.9778901915997267,0.8953381404280663,0.6302186878727635,0.6666666666666666,0.699390589569161,0.6666666666666666,0.6437544157782252
0.9324146136641502,0.8213344812393188,0.6739562624254473,0.6904761904761905,0.7097757621567146,0.6904761904761905,0.6637892090273042
0.8449962828308344,0.8186199218034744,0.7147117296222664,0.6984126984126984,0.7295382968002015,0.6984126984126984,0.6752258984401841
0.7913985978811979,0.7562735751271248,0.7455268389662028,0.7420634920634921,0.7762503369646226,0.7420634920634921,0.7203851153255915
0.6805744729936123,0.7408456727862358,0.7703777335984096,0.7261904761904762,0.7719353397924827,0.7261904761904762,0.7084218030646603
0.6937850452959538,0.7018048912286758,0.7534791252485089,0.7341269841269841,0.7537477954144621,0.7341269841269841,0.7131556494651733
0.6288279825821519,0.6821706034243107,0.7723658051689861,0.7817460317460317,0.8027567340067341,0.7817460317460317,0.7639363282220426
0.5780338561162353,0.6272034160792828,0.8131212723658051,0.7857142857142857,0.8198302469135803,0.7857142857142857,0.7722164079306936
0.5293303821235895,0.5723639652132988,0.8320079522862823,0.8015873015873016,0.8200680272108843,0.8015873015873016,0.7889948235186331
0.5254415785893798,0.6163614690303802,0.8300198807157058,0.7857142857142857,0.8114008566389519,0.7857142857142857,0.7676152551152551
